id,name,field
2061963,No.104 假面魔蹈士 闪光,
2344618,月光舞蹈会,
4280259,召命之神弓-阿波罗萨,
8379983,月光金狮子,
8809344,外神 奈亚拉,
9091064,征服斗魂 蛟龙,
11317977,月光黑羊,
13935001,月光小夜曲舞踊,
14152693,月光翠鸟,
14558127,灰流丽,
14558128,灰流丽,
18144508,鹰身女妖的羽毛扫,
23002292,红色重启,
23434538,增殖的G,
24094655,融合,
24224830,墓穴的指名者,
24550676,月光舞狮子姬,
27420823,K9-17号 “撕裂者”,
28168628,斗神的虚像,
28642461,K9-66a号 霜妖,
29280200,征服斗魂 狂爱博士,
29301450,S：P小夜,
29302858,征服斗魂 螺禅,
32807848,增援,
34267821,古遗物-圣枪,
34876719,伟人庇护战车骑士,
35550352,向征服斗魂进发！,
35618217,月光彩雏,
35726888,愚蠢的副葬,
35763582,月光银狗,
35772782,No.67 平行骰子天堂锤手,
40366667,灵王的波动,
40673853,超念铳士 瓦隆,
42141493,欢聚友伴·茸茸长尾山雀,
47705572,月光狼,
48427163,月光紫蝶,
48444114,月华香,
48815792,灼热之火灵使 希塔,
49456901,混沌No.104 假面魔蹈士 阴影,
50277355,交织绵羊,
50546208,月光黄鼬,
51777272,月光舞猫姬,
53792930,K9-EX强制解除,
54562327,赌上你的灵魂！,
54701958,月光舞狮子神姬,
55031170,K9-66b号 灯鬼,
57103969,炎舞-「天玑」,
58570206,多层融合,
59438931,幽鬼兔,
60303245,转生炎兽 独角兔,
60883493,征服斗魂 里螺旋流雪风,
61374414,混沌超量 伟人庇护混沌骑士,
66011101,No.60 刻不知之杜加雷斯,
74997493,锁龙蛇-骷髅四面鬼,
77894049,征服斗魂 洛克斯,
78661338,幻创龙 奇幻龙人神,
80181649,“K9案件”,
81196066,月光舞香姬,
81439173,愚蠢的埋葬,
83190280,月光虎,
84192580,欢聚友伴·抖抖海月水母,
87209160,铁兽战线 弗拉克杜尔,
87931906,月光融合,
88753594,月光舞剑虎姬,
90303227,K9-EX “狼人”,
90448280,天霆号 阿宙斯,
90590304,No.41 泥睡魔兽 睡梦貘,
91025875,K9-ØØ号 野狼,
91073013,征服斗魂 龙帝 瓦利乌斯,
91800273,次元吸引者,
92248362,K9-17号 饭纲,
92895501,征服斗魂 重型电子人,
93156774,征服斗魂 霍丽·苏,
93332803,怒炎坏兽 多哥兰,
94145022,小丑与锁鸟,
96381979,魁炎星王-宋虎,
